Div,MatchDate,Season,HomeTeam,AwayTeam,FTHG,FTAG,res,TotGoals,xgh,xga,HS,AS,HST,AST,HC,AC,avg_H,avg_D,avg_A,ps_H,ps_D,ps_A,bfe_H,bfe_D,bfe_A,avg_O25,avg_U25,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA,PSCH,PSCD,PSCA,BFECH,BFECD,BFECA,AvgC>2.5,AvgC<2.5,MaxC>2.5,MaxC<2.5,avg_margin,ps_margin
F1,2014-08-08,2014,Reims,Paris SG,2.0,2.0,D,4.0,1.3679,2.6554,9.0,16.0,3.0,6.0,1.0,5.0,,,,0.08986377348311018,0.18801117699273628,0.7221250495241536,,,,,,,,,,,,10.55,5.17,1.37,,,,,,,,,0.01813733483600677
F1,2014-08-09,2014,Montpellier,Bordeaux,0.0,1.0,A,1.0,1.0176,0.7502,15.0,7.0,3.0,3.0,5.0,1.0,,,,0.3477397280592523,0.3200682353195791,0.33219203662116864,,,,,,,,,,,,2.82,3.06,2.95,,,,,,,,,0.020390365546386846
F1,2014-08-09,2014,Lille,Metz,0.0,0.0,D,0.0,1.5447,0.0571,14.0,2.0,3.0,1.0,8.0,3.0,,,,0.6534735967397076,0.2361263498496368,0.1104000534106557,,,,,,,,,,,,1.51,4.12,8.6,,,,,,,,,0.02124917199852283
F1,2014-08-09,2014,Guingamp,St Etienne,0.0,2.0,A,2.0,0.6329,1.4953,6.0,7.0,3.0,2.0,4.0,5.0,,,,0.3010254240431118,0.32433911469521826,0.37463546126167,,,,,,,,,,,,3.25,3.02,2.62,,,,,,,,,0.02049752481985445
F1,2014-08-09,2014,Evian Thonon Gaillard,Caen,0.0,3.0,A,3.0,0.8137,1.2387,10.0,12.0,2.0,7.0,5.0,6.0,,,,0.4079566205824758,0.3060229852622889,0.2860203941552354,,,,,,,,,,,,2.41,3.2,3.42,,,,,,,,,0.019835420154812988
F1,2014-08-09,2014,Bastia,Marseille,3.0,3.0,D,6.0,1.3969,1.3175,13.0,9.0,4.0,4.0,1.0,4.0,,,,0.26094988010381415,0.2885531720952466,0.45049694780093935,,,,,,,,,,,,3.73,3.38,2.18,,,,,,,,,0.022670099241264063
F1,2014-08-09,2014,Nice,Toulouse,3.0,2.0,H,5.0,2.2148,1.5636,22.0,11.0,8.0,3.0,12.0,7.0,,,,0.32495884382595985,0.295012579759036,0.38002857641500426,,,,,,,,,,,,3.01,3.31,2.58,,,,,,,,,0.02193761647144621
F1,2014-08-09,2014,Nantes,Lens,1.0,0.0,H,1.0,1.025,0.1671,14.0,5.0,4.0,2.0,3.0,2.0,,,,0.5330258134552198,0.278623659484069,0.18835052706071118,,,,,,,,,,,,1.85,3.51,5.15,,,,,,,,,0.019615582722378733
F1,2014-08-10,2014,Monaco,Lorient,1.0,2.0,A,3.0,2.0933,1.6254,12.0,9.0,7.0,3.0,10.0,4.0,,,,0.6907190319679474,0.2112103433110654,0.0980706247209873,,,,,,,,,,,,1.43,4.6,9.65,,,,,,,,,0.020318946653706815
F1,2014-08-10,2014,Lyon,Rennes,2.0,0.0,H,2.0,2.064,0.3759,19.0,7.0,6.0,1.0,5.0,1.0,,,,0.46847038649045686,0.2999095635503825,0.23162004995916075,,,,,,,,,,,,2.1,3.26,4.2,,,,,,,,,0.021034180543382908
F1,2014-08-15,2014,Caen,Lille,0.0,1.0,A,1.0,0.2738,0.946,11.0,8.0,3.0,1.0,3.0,9.0,,,,0.20967666347837804,0.298103297964208,0.4922200385574141,,,,,,,,,,,,4.63,3.28,2.0,,,,,,,,,0.02086077016277721
E0,2014-08-16,2014,Leicester,Everton,2.0,2.0,D,4.0,1.2783,0.6133,11.0,13.0,3.0,3.0,3.0,6.0,,,,0.3147980850848694,0.2875129821492546,0.39768893276587614,,,,,,,,,,,,3.11,3.4,2.47,,,,,,,,,0.020519355014093854
E0,2014-08-16,2014,QPR,Hull,0.0,1.0,A,1.0,1.9007,1.1176,19.0,11.0,6.0,4.0,8.0,9.0,,,,0.425739303713313,0.3020998170723267,0.2721608792143603,,,,,,,,,,,,2.31,3.24,3.59,,,,,,,,,0.020093940242501107
E0,2014-08-16,2014,West Brom,Sunderland,2.0,2.0,D,4.0,1.6834,0.9919,10.0,7.0,5.0,2.0,6.0,3.0,,,,0.47147921079288063,0.2862838758634584,0.2422369133436609,,,,,,,,,,,,2.09,3.42,4.03,,,,,,,,,0.01900551815662177
