Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh
D1,04/09/2026,19:30,Stuttgart,FC Koln,1.48,5,5.5,1.49,5,6,1.46,4.98,5.61,1.36,3.2,1.38,3.3,1.35,3.11,1.4,3.4,-1.25
D1,05/09/2026,14:30,Hoffenheim,Dortmund,2.88,3.9,2.2,2.9,4,2.3,2.84,3.8,2.2,1.44,2.75,1.48,2.88,1.43,2.72,1.51,2.9,0.25
D1,05/09/2026,14:30,Leverkusen,Union Berlin,1.44,4.75,6.25,1.46,5,6.6,1.43,4.8,6.16,1.44,2.75,1.45,3,1.41,2.8,1.47,3.05,-1.25
D1,05/09/2026,14:30,M'gladbach,Elversberg,1.9,3.75,3.8,1.9,4,3.9,1.86,3.78,3.76,1.57,2.38,1.6,2.4,1.56,2.35,1.63,2.5,-0.5
D1,05/09/2026,14:30,Paderborn,Freiburg,3.6,3.6,1.95,3.6,3.8,2.05,3.41,3.65,1.99,1.67,2.2,1.67,2.2,1.64,2.19,1.71,2.34,0.5
D1,05/09/2026,14:30,Werder Bremen,RB Leipzig,4.33,4,1.73,4.33,4.2,1.8,4.04,4.03,1.75,1.5,2.63,1.5,2.7,1.46,2.63,1.51,2.9,0.75
D1,05/09/2026,17:30,Schalke 04,Bayern Munich,15,7.5,1.17,16,9,1.18,13.58,8.32,1.15,1.22,4.33,1.25,4.33,1.22,4.12,1.25,4.7,2.25
D1,06/09/2026,14:30,Hamburg,Mainz,2.88,3.5,2.4,2.88,3.6,2.48,2.76,3.51,2.37,1.73,2.1,1.73,2.2,1.67,2.12,1.77,2.22,0.25
D1,06/09/2026,16:30,Ein Frankfurt,Augsburg,1.91,3.9,3.6,1.95,4.2,3.6,1.91,3.97,3.42,1.5,2.63,1.5,2.88,1.43,2.68,1.51,2.82,-0.5
E0,04/09/2026,20:00,Ipswich,Liverpool,5.25,4.75,1.5,5.8,5,1.54,5.48,4.8,1.5,1.4,3,1.42,3.1,1.37,2.99,1.44,3.2,1.25
E0,05/09/2026,12:30,Newcastle,Bournemouth,2.1,3.6,3.3,2.15,3.8,3.3,2.1,3.64,3.19,1.57,2.38,1.6,2.4,1.55,2.37,1.64,2.52,-0.25
E0,05/09/2026,15:00,Brentford,Sunderland,1.62,3.9,5.5,1.67,4,5.5,1.62,3.9,5.29,1.8,2,2.1,2,1.82,1.93,1.92,2.06,-0.75
E0,05/09/2026,15:00,Brighton,Leeds,1.95,3.5,3.9,2.38,3.6,3.9,1.98,3.52,3.68,1.91,1.91,2.1,1.95,1.85,1.89,1.93,2.04,-0.5
E0,05/09/2026,15:00,Fulham,Crystal Palace,2.3,3.25,3.25,3,3.5,3.25,2.32,3.37,3.03,1.91,1.91,2.5,1.93,1.89,1.86,1.97,2,-0.25
E0,05/09/2026,15:00,Man City,Coventry,1.18,8,12,1.2,8.5,15.5,1.17,7.64,13.85,1.36,3.2,1.36,3.25,1.34,3.17,1.38,3.5,-2.25
E0,05/09/2026,15:00,Nott'm Forest,Tottenham,2.4,3.4,2.9,2.5,3.4,2.9,2.4,3.36,2.86,1.91,1.91,2.38,1.91,1.91,1.83,1.98,1.99,-0.25
E0,05/09/2026,17:30,Hull,Aston Villa,4.2,3.6,1.85,4.2,3.75,1.9,4.04,3.62,1.86,1.88,1.98,1.88,1.98,1.83,1.91,1.94,2.02,0.5
E0,06/09/2026,14:00,Everton,Man United,3.3,3.5,2.1,3.3,3.6,2.2,3.21,3.54,2.12,1.73,2.1,1.73,2.2,1.67,2.12,1.75,2.26,0.25
E0,06/09/2026,16:30,Arsenal,Chelsea,1.67,3.75,5.25,1.73,4,5.25,1.69,3.8,4.82,1.73,2.1,1.77,2.1,1.73,2.03,1.81,2.18,-0.75
F1,04/09/2026,18:00,Lyon,Auxerre,1.42,4.5,7.5,1.46,4.8,8.3,1.42,4.63,7.12,1.62,2.3,1.64,2.3,1.61,2.25,1.67,2.46,-1.25
F1,04/09/2026,20:05,Paris SG,Monaco,1.33,5.75,7.5,1.4,5.75,8,1.34,5.59,7.44,1.36,3.2,1.38,3.3,1.35,3.1,1.39,3.5,-1.5
