Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA,BFECH,BFECD,BFECA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365>2.5,B365<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,PCAHH,PCAHA,Season
E0,15/08/2025,20:00,Liverpool,Bournemouth,4,2,H,1,0,19,10,10,3,6,7,1,2,0,0,1.28,6.56,9.07,1.29,6.55,9.75,1.32,6.8,10,1.31,6.6,9.5,1.29,6.02,8.68,1.36,3.2,1.41,2.95,1.4,3.2,1.36,3.05,-1.75,2.07,1.85,2526
E0,16/08/2025,12:30,Aston Villa,Newcastle,0,0,D,0,0,3,16,3,3,3,6,1,1,1,0,2.24,3.72,3.13,2.32,3.63,3.07,2.48,3.55,3.1,2.45,3.5,3.1,2.38,3.41,2.93,1.62,2.3,1.66,2.31,1.83,2.18,1.75,2.04,-0.25,2.02,1.89,2526
E0,16/08/2025,15:00,Brighton,Fulham,1,1,D,0,0,10,7,4,2,4,3,3,3,0,0,1.94,3.73,3.98,1.92,3.66,4.27,1.9,3.8,4.6,1.87,3.75,4.4,1.83,3.64,4.26,1.73,2.1,1.91,2,1.91,2.04,1.84,1.93,-0.5,1.93,2,2526
E0,16/08/2025,15:00,Sunderland,West Ham,3,0,H,0,0,10,12,5,4,5,7,0,1,0,0,3.27,3.43,2.29,3.55,3.24,2.29,3.6,3.4,2.32,3.55,3.3,2.31,3.4,3.17,2.25,1.93,1.93,2.24,1.7,2.25,1.75,2.11,1.69,0.25,1.97,1.95,2526
E0,16/08/2025,15:00,Tottenham,Burnley,3,0,H,1,0,16,14,6,4,6,5,0,0,0,0,1.4,4.71,8.79,1.56,4.2,6.7,1.61,4.3,6.8,1.58,4.1,6.5,1.55,4.01,6.16,1.73,2.1,1.91,2,1.93,1.93,1.88,1.88,-1,1.99,1.93,2526
E0,16/08/2025,17:30,Wolves,Man City,0,4,A,0,2,9,15,3,4,4,6,1,2,0,0,6.72,4.92,1.46,6.22,4.7,1.52,7,4.6,1.56,7,4.65,1.53,6.24,4.32,1.51,1.62,2.3,1.64,2.37,1.8,2.15,1.74,2.04,1,2.07,1.86,2526
E0,17/08/2025,14:00,Chelsea,Crystal Palace,0,0,D,0,0,19,12,3,4,11,2,2,3,0,0,1.66,4.12,5.25,1.75,4.1,4.67,1.88,3.85,4.7,1.88,3.85,4.5,1.82,3.72,4.26,1.67,2.2,1.74,2.18,1.75,2.23,1.71,2.09,-0.5,1.74,2.21,2526
E0,17/08/2025,14:00,Nott'm Forest,Brentford,3,1,H,3,0,11,10,5,3,5,5,1,2,0,0,2.25,3.38,3.4,2.18,3.37,3.66,1.96,3.65,4.5,1.95,3.55,4.3,1.91,3.44,4.16,2,1.85,2.09,1.81,2.08,1.88,1.99,1.79,-0.5,2.18,1.76,2526
E0,17/08/2025,16:30,Man United,Arsenal,0,1,A,0,1,22,9,7,3,3,4,1,4,0,0,3.74,3.72,2.01,3.84,3.71,2,4.1,3.8,1.99,4,3.8,1.97,3.79,3.7,1.93,1.83,2.03,1.74,2.18,1.73,2.2,1.69,2.12,0.5,1.91,2.01,2526
E0,18/08/2025,20:00,Leeds,Everton,1,0,H,0,0,21,7,3,1,7,2,0,2,0,0,2.37,3.52,3.06,2.36,3.3,3.32,2.54,3.3,3.25,2.4,3.3,3.3,2.34,3.21,3.16,2.1,1.73,2.2,1.74,2.2,1.73,2.13,1.68,-0.25,2.02,1.9,2526
E0,22/08/2025,20:00,West Ham,Chelsea,1,5,A,1,3,12,12,4,7,7,5,0,1,0,0,4.94,3.95,1.74,5.17,4.14,1.68,5.3,4.1,1.75,5,3.95,1.8,4.75,3.82,1.72,1.73,2.1,1.73,2.19,1.8,2.17,1.72,2.08,0.75,2.06,1.87,2526
E0,23/08/2025,12:30,Man City,Tottenham,0,2,A,0,2,10,12,4,5,7,2,1,4,0,0,1.49,5,6.01,1.51,4.93,6.07,1.57,4.8,6.2,1.57,4.95,5.8,1.54,4.53,5.46,1.44,2.75,1.52,2.66,1.53,2.75,1.48,2.58,-1,1.83,2.11,2526
E0,23/08/2025,15:00,Bournemouth,Wolves,1,0,H,1,0,14,6,4,1,8,3,2,4,0,1,1.79,3.98,4.4,1.81,3.88,4.59,1.9,3.85,4.6,1.87,3.9,4.6,1.8,3.74,4.32,1.73,2.1,1.81,2.09,1.88,2.07,1.81,1.96,-0.75,2.05,1.88,2526
E0,23/08/2025,15:00,Brentford,Aston Villa,1,0,H,1,0,9,17,2,2,2,9,1,2,0,0,3.26,3.49,2.27,3.29,3.48,2.29,3.5,3.65,2.22,3.5,3.6,2.28,3.25,3.45,2.18,1.8,2,1.99,1.92,1.91,1.98,1.85,1.91,0.25,1.94,1.98,2526
E0,23/08/2025,15:00,Burnley,Sunderland,2,0,H,0,0,7,9,2,1,4,3,0,1,0,0,2.21,3.26,3.63,2.35,3.19,3.47,2.46,3.3,3.4,2.42,3.2,3.3,2.38,3.11,3.22,2.3,1.62,2.45,1.61,2.4,1.62,2.29,1.59,-0.25,2,1.93,2526
E0,23/08/2025,17:30,Arsenal,Leeds,5,0,H,2,0,18,3,5,1,2,2,0,2,0,0,1.28,6.21,9.68,1.34,5.55,9.7,1.35,5.8,11,1.35,5.65,10,1.33,5.36,8.94,1.53,2.5,1.65,2.33,1.66,2.3,1.62,2.25,-1.5,2.04,1.88,2526
E0,24/08/2025,14:00,Crystal Palace,Nott'm Forest,1,1,D,1,0,8,9,4,1,1,3,3,3,0,0,2.41,3.25,3.22,2.45,3.25,3.21,2.5,3.35,3.25,2.43,3.3,3.15,2.39,3.24,3.06,2.1,1.73,2.3,1.68,2.1,1.83,2.05,1.74,-0.25,2.1,1.84,2526
E0,24/08/2025,14:00,Everton,Brighton,2,0,H,1,0,11,13,3,4,2,2,4,3,0,0,3.16,3.36,2.38,3.14,3.36,2.43,3.1,3.5,2.52,3,3.4,2.5,2.9,3.34,2.43,2,1.8,2.04,1.88,1.94,1.93,1.89,1.88,0,2.24,1.73,2526
E0,24/08/2025,16:30,Fulham,Man United,1,1,D,0,0,13,10,4,3,9,6,1,1,0,0,3.3,3.54,2.23,3.53,3.49,2.18,3.7,3.7,2.16,3.65,3.65,2.1,3.45,3.51,2.08,1.8,2,1.85,2.07,1.81,2.1,1.76,2.02,0.25,2.04,1.88,2526
E0,25/08/2025,20:00,Newcastle,Liverpool,2,3,A,0,1,10,5,3,4,7,1,2,3,1,0,3.29,3.92,2.11,2.97,3.74,2.36,3.1,3.8,2.38,3,3.8,2.4,2.92,3.65,2.29,1.57,2.38,1.6,2.42,1.63,2.5,1.56,2.37,0.25,1.87,2.07,2526
E0,30/08/2025,12:30,Chelsea,Fulham,2,0,H,1,0,13,11,6,3,6,4,2,2,0,0,1.57,4.37,5.75,1.67,3.97,5.49,1.76,3.95,5.4,1.73,4.1,5.5,1.67,3.93,5.03,1.67,2.2,1.78,2.13,1.85,2.12,1.79,1.98,-1,2.16,1.78,2526
E0,30/08/2025,15:00,Man United,Burnley,3,2,H,1,0,26,6,6,3,7,1,1,5,0,0,1.36,5.39,8.45,1.4,5.11,7.98,1.42,5.4,8.6,1.4,5.3,8,1.38,5.06,7.6,1.67,2.2,1.63,2.39,1.6,2.48,1.56,2.36,-1.25,1.89,2.03,2526
E0,30/08/2025,15:00,Sunderland,Brentford,2,1,H,0,0,12,7,3,4,3,4,3,2,0,0,3.03,3.24,2.53,3.08,3.29,2.5,3.3,3.45,2.42,3.2,3.4,2.42,3.1,3.25,2.35,2.1,1.73,2.15,1.78,2.17,1.78,2.07,1.73,0.25,1.81,2.15,2526
E0,30/08/2025,15:00,Tottenham,Bournemouth,0,1,A,0,1,5,20,1,6,0,8,2,4,0,0,1.76,4.14,4.39,1.97,3.71,3.97,1.96,3.85,4.2,1.94,3.85,4,1.89,3.75,3.84,1.57,2.38,1.68,2.31,1.67,2.35,1.63,2.22,-0.5,1.98,1.94,2526
E0,30/08/2025,15:00,Wolves,Everton,2,3,A,1,2,12,10,4,4,2,2,0,1,0,0,2.74,3.23,2.79,3.21,3.2,2.48,3.55,3.3,2.38,3.4,3.2,2.38,3.33,3.11,2.32,2.2,1.67,2.49,1.59,2.5,1.6,2.43,1.53,0.25,1.83,2.11,2526
E0,30/08/2025,17:30,Leeds,Newcastle,0,0,D,0,0,10,8,1,2,5,5,1,1,0,0,3.47,3.54,2.16,3.16,3.55,2.33,3.8,3.6,2.16,3.9,3.45,2.25,3.67,3.36,2.06,1.8,2,2,1.91,2.1,1.8,2.03,1.75,0.5,1.68,2.33,2526
E0,31/08/2025,14:00,Brighton,Man City,2,1,H,0,1,12,12,7,3,3,2,2,2,0,0,3.92,3.89,1.91,3.77,3.79,2,3.8,3.75,2.1,3.6,3.7,2.1,3.47,3.64,2.03,1.62,2.3,1.54,2.58,1.63,2.4,1.57,2.33,0.5,1.92,2.01,2526
E0,31/08/2025,14:00,Nott'm Forest,West Ham,0,3,A,0,0,11,12,3,8,9,7,0,0,0,0,1.69,3.98,5.13,1.69,4,5.17,1.71,4.2,5.4,1.69,4.2,5.5,1.65,4.01,4.98,1.98,1.88,1.81,2.08,1.8,2.15,1.72,2.07,-0.75,1.9,2.03,2526
E0,31/08/2025,16:30,Liverpool,Arsenal,1,0,H,0,0,9,11,3,1,3,8,2,2,0,0,2.27,3.47,3.28,2.4,3.53,3.05,2.46,3.5,3.2,2.4,3.5,3.1,2.37,3.33,3.01,1.73,2.1,1.74,2.19,1.81,2.1,1.77,2,-0.25,2.08,1.85,2526
