Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,21/08/2026,20:00,Arsenal,Coventry,3,0,H
E0,22/08/2026,12:30,Hull,Man United,2,0,H
E0,22/08/2026,15:00,Everton,Crystal Palace,2,0,H
E0,22/08/2026,15:00,Ipswich,Sunderland,2,1,H
E0,22/08/2026,15:00,Nott'm Forest,Leeds,0,1,A
E0,22/08/2026,17:30,Brentford,Tottenham,3,0,H
E0,23/08/2026,14:00,Brighton,Aston Villa,4,0,H
E0,23/08/2026,14:00,Man City,Bournemouth,2,1,H
E0,23/08/2026,16:30,Newcastle,Liverpool,2,2,D
E0,24/08/2026,20:00,Fulham,Chelsea,2,3,A
E0,28/08/2026,20:00,Crystal Palace,Man City,1,4,A
E0,29/08/2026,12:30,Liverpool,Nott'm Forest,2,2,D
E0,29/08/2026,15:00,Bournemouth,Everton,1,1,D
E0,29/08/2026,15:00,Coventry,Hull,0,1,A
E0,29/08/2026,17:30,Tottenham,Newcastle,0,2,A
E0,30/08/2026,14:00,Chelsea,Brighton,4,3,H
E0,30/08/2026,14:00,Leeds,Brentford,1,1,D
E0,30/08/2026,14:00,Sunderland,Fulham,1,0,H
E0,30/08/2026,16:30,Man United,Ipswich,5,2,H
E0,31/08/2026,20:00,Aston Villa,Arsenal,0,1,A
D1,28/08/2026,19:30,Bayern Munich,Stuttgart,5,1,H
D1,29/08/2026,14:30,Elversberg,Leverkusen,3,2,H
D1,29/08/2026,14:30,FC Koln,Hoffenheim,3,2,H
D1,29/08/2026,14:30,Mainz,Paderborn,0,0,D
D1,29/08/2026,14:30,RB Leipzig,M'gladbach,3,0,H
D1,29/08/2026,14:30,Union Berlin,Ein Frankfurt,3,3,D
D1,29/08/2026,17:30,Dortmund,Hamburg,2,0,H
D1,30/08/2026,14:30,Freiburg,Werder Bremen,4,1,H
D1,30/08/2026,16:30,Augsburg,Schalke 04,3,0,H
I1,22/08/2026,17:30,Inter,Monza,4,1,H
I1,22/08/2026,17:30,Udinese,Como,1,1,D
I1,22/08/2026,19:45,Genoa,Napoli,0,2,A
I1,22/08/2026,19:45,Parma,Cagliari,0,1,A
I1,23/08/2026,17:30,Frosinone,Juventus,0,1,A
I1,23/08/2026,17:30,Venezia,Lecce,0,2,A
I1,23/08/2026,19:45,Atalanta,Sassuolo,2,1,H
I1,23/08/2026,19:45,Torino,Milan,1,2,A
I1,24/08/2026,17:30,Bologna,Lazio,0,1,A
I1,24/08/2026,19:45,Roma,Fiorentina,4,0,H
I1,28/08/2026,19:45,Milan,Venezia,2,0,H
I1,29/08/2026,17:30,Fiorentina,Frosinone,0,3,A
I1,29/08/2026,17:30,Monza,Udinese,2,3,A
I1,29/08/2026,17:30,Sassuolo,Torino,2,1,H
I1,29/08/2026,19:45,Juventus,Parma,2,0,H
I1,30/08/2026,17:30,Napoli,Como,1,2,A
I1,30/08/2026,19:45,Cagliari,Inter,0,1,A
I1,30/08/2026,19:45,Lazio,Genoa,1,0,H
I1,31/08/2026,17:30,Lecce,Roma,0,4,A
I1,31/08/2026,19:45,Atalanta,Bologna,1,0,H
SP1,15/08/2026,18:30,Alaves,Getafe,3,0,H
SP1,15/08/2026,20:30,Sevilla,Vallecano,2,1,H
SP1,16/08/2026,16:00,Santander,Villarreal,2,2,D
SP1,16/08/2026,18:00,Espanol,Levante,3,0,H
SP1,17/08/2026,20:00,La Coruna,Elche,1,1,D
SP1,19/08/2026,20:00,Ath Madrid,Malaga,2,0,H
SP1,20/08/2026,20:00,Vallecano,Alaves,1,1,D
SP1,21/08/2026,20:00,Betis,Sociedad,1,0,H
SP1,22/08/2026,16:00,Ath Bilbao,Sevilla,1,3,A
SP1,22/08/2026,18:30,Valencia,Celta,0,0,D
SP1,22/08/2026,20:30,Espanol,Real Madrid,1,2,A
SP1,23/08/2026,16:00,Ath Madrid,Villarreal,2,2,D
SP1,23/08/2026,18:30,Getafe,Santander,1,0,H
SP1,23/08/2026,20:30,Elche,Barcelona,0,5,A
SP1,24/08/2026,18:30,Osasuna,Levante,0,0,D
SP1,24/08/2026,20:30,Malaga,La Coruna,1,1,D
SP1,25/08/2026,20:00,Valencia,Betis,0,1,A
SP1,26/08/2026,20:00,Real Madrid,Sociedad,4,1,H
SP1,27/08/2026,19:30,Celta,Osasuna,1,2,A
SP1,27/08/2026,20:00,Barcelona,Ath Bilbao,2,0,H
SP1,28/08/2026,18:00,Santander,Elche,3,2,H
SP1,28/08/2026,20:30,Alaves,Villarreal,1,0,H
SP1,29/08/2026,16:00,Levante,Betis,5,2,H
SP1,29/08/2026,18:00,Sociedad,Espanol,2,1,H
SP1,29/08/2026,20:30,Sevilla,Ath Madrid,1,3,A
SP1,30/08/2026,16:00,Real Madrid,Malaga,4,0,H
SP1,30/08/2026,18:30,La Coruna,Valencia,3,1,H
SP1,30/08/2026,20:30,Celta,Ath Bilbao,0,2,A
SP1,31/08/2026,18:30,Osasuna,Getafe,1,0,H
SP1,31/08/2026,20:30,Barcelona,Vallecano,5,2,H
SP1,03/09/2026,20:00,Sociedad,Celta,0,0,D
F1,21/08/2026,19:45,Marseille,Strasbourg,4,0,H
F1,22/08/2026,16:15,Lens,Auxerre,5,2,H
F1,22/08/2026,19:45,Le Mans,Brest,2,2,D
F1,22/08/2026,19:45,Nice,Lorient,0,0,D
F1,22/08/2026,19:45,Toulouse,Lyon,0,2,A
F1,22/08/2026,19:45,Troyes,Paris FC,0,0,D
F1,23/08/2026,14:00,Angers,Lille,0,2,A
F1,23/08/2026,16:15,Le Havre,Monaco,0,1,A
F1,23/08/2026,19:45,Rennes,Paris SG,2,2,D
F1,28/08/2026,19:45,Lille,Paris SG,2,2,D
F1,29/08/2026,16:15,Strasbourg,Lens,2,1,H
F1,29/08/2026,19:45,Auxerre,Angers,1,3,A
F1,29/08/2026,19:45,Brest,Toulouse,2,2,D
F1,29/08/2026,19:45,Lorient,Troyes,1,2,A
F1,29/08/2026,19:45,Lyon,Le Havre,1,1,D
F1,30/08/2026,14:00,Paris FC,Nice,3,0,H
F1,30/08/2026,16:15,Rennes,Le Mans,3,2,H
F1,30/08/2026,19:45,Monaco,Marseille,2,0,H
F1,03/09/2026,19:45,Toulouse,Lille,0,1,A
