Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SP1,28/08/2026,17:00,Santander,Elche,3,2,H
D1,28/08/2026,18:30,Bayern Munich,Stuttgart,5,1,H
I1,28/08/2026,18:45,Milan,Venezia,2,0,H
F1,28/08/2026,18:45,Lille,Paris SG,2,2,D
E0,28/08/2026,19:00,Crystal Palace,Man City,1,4,A
SP1,28/08/2026,19:30,Alaves,Villarreal,1,0,H
E0,29/08/2026,11:30,Liverpool,Nott'm Forest,2,2,D
D1,29/08/2026,13:30,Union Berlin,Ein Frankfurt,3,3,D
D1,29/08/2026,13:30,FC Koln,Hoffenheim,3,2,H
D1,29/08/2026,13:30,RB Leipzig,M'gladbach,3,0,H
D1,29/08/2026,13:30,Mainz,Paderborn,0,0,D
D1,29/08/2026,13:30,Elversberg,Leverkusen,3,2,H
E0,29/08/2026,14:00,Coventry,Hull,0,1,A
E0,29/08/2026,14:00,Bournemouth,Everton,1,1,D
SP1,29/08/2026,15:00,Levante,Betis,5,2,H
F1,29/08/2026,15:15,Strasbourg,Lens,2,1,H
E0,29/08/2026,16:30,Tottenham,Newcastle,0,2,A
I1,29/08/2026,16:30,Monza,Udinese,2,3,A
I1,29/08/2026,16:30,Sassuolo,Torino,2,1,H
I1,29/08/2026,16:30,Fiorentina,Frosinone,0,3,A
D1,29/08/2026,16:30,Dortmund,Hamburg,2,0,H
SP1,29/08/2026,17:00,Sociedad,Espanol,2,1,H
I1,29/08/2026,18:45,Juventus,Parma,2,0,H
F1,29/08/2026,18:45,Auxerre,Angers,1,3,A
F1,29/08/2026,18:45,Brest,Toulouse,2,2,D
F1,29/08/2026,18:45,Lorient,Troyes,1,2,A
F1,29/08/2026,18:45,Lyon,Le Havre,1,1,D
SP1,29/08/2026,19:30,Sevilla,Ath Madrid,1,3,A
E0,30/08/2026,13:00,Sunderland,Fulham,1,0,H
E0,30/08/2026,13:00,Chelsea,Brighton,4,3,H
E0,30/08/2026,13:00,Leeds,Brentford,1,1,D
F1,30/08/2026,13:00,Paris FC,Nice,3,0,H
D1,30/08/2026,13:30,Freiburg,Werder Bremen,4,1,H
SP1,30/08/2026,15:00,Real Madrid,Malaga,4,0,H
F1,30/08/2026,15:15,Rennes,Le Mans,3,2,H
E0,30/08/2026,15:30,Man United,Ipswich,5,2,H
D1,30/08/2026,15:30,Augsburg,Schalke 04,3,0,H
I1,30/08/2026,16:30,Napoli,Como,1,2,A
SP1,30/08/2026,17:30,La Coruna,Valencia,3,1,H
I1,30/08/2026,18:45,Cagliari,Inter,0,1,A
I1,30/08/2026,18:45,Lazio,Genoa,1,0,H
F1,30/08/2026,18:45,Monaco,Marseille,2,0,H
SP1,30/08/2026,19:30,Celta,Ath Bilbao,0,2,A
