bet_id,placed_at,MatchDate,Div,HomeTeam,AwayTeam,sel,p,odds,stake,status,result,payout,pnl,settled_at
1,2026-08-29 07:54,2026-08-29,I1,Monza,Udinese,Over 2.5,0.4542,2.25,4.37,vinta,2-3,9.83,5.46,2026-08-31 16:15
2,2026-08-29 07:54,2026-08-29,F1,Auxerre,Angers,Under 2.5,0.5611,1.83,8.06,persa,1-3,0.0,-8.06,2026-08-31 16:15
3,2026-08-29 07:54,2026-08-29,SP1,Sevilla,Ath Madrid,Over 2.5,0.5227,1.98,8.93,vinta,1-3,17.68,8.75,2026-08-31 16:15
4,2026-08-29 07:54,2026-08-29,F1,Strasbourg,Lens,Over 2.5,0.6276,1.67,10.0,vinta,2-1,16.7,6.7,2026-08-31 16:15
5,2026-08-29 07:54,2026-08-29,I1,Sassuolo,Torino,Over 2.5,0.517,2.03,10.0,vinta,2-1,20.3,10.3,2026-08-31 16:15
6,2026-08-29 07:54,2026-08-29,I1,Fiorentina,Frosinone,Over 2.5,0.5854,1.8,10.0,vinta,0-3,18.0,8.0,2026-08-31 16:15
7,2026-08-29 07:54,2026-08-29,I1,Monza,Udinese,2,0.4401,2.4,10.0,vinta,2-3,24.0,14.0,2026-08-31 16:15
8,2026-08-29 07:54,2026-08-29,SP1,Sevilla,Ath Madrid,1,0.2956,3.6,6.17,persa,1-3,0.0,-6.17,2026-08-31 16:15
9,2026-08-29 07:54,2026-08-29,I1,Sassuolo,Torino,2,0.3212,3.33,7.48,persa,2-1,0.0,-7.48,2026-08-31 16:15
10,2026-08-29 07:54,2026-08-29,D1,Dortmund,Hamburg,2,0.1105,9.8,2.34,persa,2-0,0.0,-2.34,2026-08-31 16:15
11,2026-08-29 07:54,2026-08-30,SP1,Celta,Ath Bilbao,1,0.4213,2.45,5.56,persa,0-2,0.0,-5.56,2026-08-31 16:15
12,2026-08-29 07:54,2026-08-30,I1,Lazio,Genoa,2,0.2401,4.33,2.97,persa,1-0,0.0,-2.97,2026-08-31 16:15
13,2026-08-29 07:54,2026-08-30,E0,Sunderland,Fulham,2,0.3364,3.1,5.11,persa,1-0,0.0,-5.11,2026-08-31 16:15
14,2026-08-29 07:54,2026-08-30,E0,Man United,Ipswich,1,0.7333,1.43,10.0,vinta,5-2,14.3,4.3,2026-08-31 16:15
15,2026-08-29 07:54,2026-08-30,I1,Napoli,Como,Over 2.5,0.4423,2.38,9.55,vinta,1-2,22.73,13.18,2026-08-31 16:15
16,2026-08-29 07:54,2026-08-30,E0,Man United,Ipswich,Over 2.5,0.6751,1.6,10.0,vinta,5-2,16.0,6.0,2026-08-31 16:15
17,2026-08-29 07:54,2026-08-30,F1,Monaco,Marseille,Over 2.5,0.6893,1.58,10.0,persa,2-0,0.0,-10.0,2026-08-31 16:15
18,2026-08-29 07:54,2026-08-31,E0,Aston Villa,Arsenal,Under 2.5,0.4896,2.1,6.39,vinta,0-1,13.42,7.03,2026-09-01 09:11
19,2026-08-29 07:54,2026-08-31,I1,Lecce,Roma,Over 2.5,0.4907,2.1,6.93,vinta,0-4,14.55,7.62,2026-09-01 09:11
20,2026-08-29 07:54,2026-08-31,SP1,Osasuna,Getafe,Over 2.5,0.3448,3.0,4.31,persa,1-0,0.0,-4.31,2026-09-01 09:11
21,2026-08-29 07:54,2026-08-31,I1,Atalanta,Bologna,2,0.2529,4.1,2.99,persa,1-0,0.0,-2.99,2026-09-01 09:11
22,2026-08-29 07:54,2026-08-31,I1,Atalanta,Bologna,Over 2.5,0.5461,1.95,10.0,persa,1-0,0.0,-10.0,2026-09-01 09:11
23,2026-08-29 07:54,2026-08-31,E0,Aston Villa,Arsenal,X,0.2578,4.2,6.45,persa,0-1,0.0,-6.45,2026-09-01 09:11
24,2026-08-29 07:54,2026-08-31,SP1,Osasuna,Getafe,1,0.4857,2.26,10.0,vinta,1-0,22.6,12.6,2026-09-01 09:11
25,2026-09-03 08:35,2026-09-03,F1,Toulouse,Lille,Under 2.5,0.57,1.8,8.13,vinta,0-1,14.63,6.5,2026-09-04 19:00
26,2026-09-03 08:35,2026-09-03,SP1,Sociedad,Celta,Over 2.5,0.5376,1.93,10.0,persa,0-0,0.0,-10.0,2026-09-04 19:00
27,2026-09-04 19:01,2026-09-04,F1,Paris SG,Monaco,X,0.1867,5.75,3.43,aperta,,,,
28,2026-09-04 19:01,2026-09-04,E0,Ipswich,Liverpool,2,0.7105,1.54,8.86,aperta,,,,
29,2026-09-04 19:01,2026-09-05,F1,Le Havre,Brest,2,0.3728,2.75,3.18,aperta,,,,
30,2026-09-04 19:01,2026-09-05,E0,Newcastle,Bournemouth,2,0.3151,3.3,3.82,aperta,,,,
31,2026-09-04 19:01,2026-09-05,E0,Newcastle,Bournemouth,Over 2.5,0.6546,1.6,8.86,aperta,,,,
32,2026-09-04 19:01,2026-09-05,F1,Lens,Lorient,Over 2.5,0.64,1.65,8.86,aperta,,,,
33,2026-09-04 19:01,2026-09-05,D1,Hoffenheim,Dortmund,2,0.4592,2.3,8.86,aperta,,,,
34,2026-09-04 19:01,2026-09-05,I1,Inter,Napoli,Over 2.5,0.5223,2.05,8.86,aperta,,,,
35,2026-09-04 19:01,2026-09-05,E0,Brighton,Leeds,1,0.4498,2.38,8.86,aperta,,,,
36,2026-09-04 19:01,2026-09-05,I1,Fiorentina,Torino,Over 2.5,0.5112,2.1,8.86,aperta,,,,
37,2026-09-04 19:01,2026-09-05,E0,Fulham,Crystal Palace,2,0.3336,3.25,8.3,aperta,,,,
38,2026-09-04 19:01,2026-09-05,E0,Nott'm Forest,Tottenham,1,0.4338,2.5,8.86,aperta,,,,
39,2026-09-04 19:01,2026-09-05,I1,Roma,Atalanta,Over 2.5,0.5624,1.93,8.86,aperta,,,,
40,2026-09-04 19:01,2026-09-05,F1,Le Havre,Brest,Over 2.5,0.5195,2.1,8.86,aperta,,,,
41,2026-09-04 19:01,2026-09-06,I1,Frosinone,Venezia,Over 2.5,0.5524,1.85,5.72,aperta,,,,
42,2026-09-04 19:01,2026-09-06,E0,Arsenal,Chelsea,Over 2.5,0.5862,1.77,8.86,aperta,,,,
43,2026-09-04 19:01,2026-09-06,F1,Angers,Rennes,Under 2.5,0.4763,2.2,8.84,aperta,,,,
44,2026-09-04 19:01,2026-09-06,D1,Hamburg,Mainz,2,0.423,2.48,7.33,aperta,,,,
45,2026-09-04 19:01,2026-09-06,I1,Bologna,Sassuolo,1,0.5246,2.0,8.86,aperta,,,,
46,2026-09-04 19:01,2026-09-06,I1,Juventus,Milan,Over 2.5,0.5038,2.1,8.86,aperta,,,,
47,2026-09-04 19:01,2026-09-06,SP1,Espanol,Sevilla,1,0.4604,2.3,8.86,aperta,,,,
48,2026-09-04 19:01,2026-09-06,I1,Bologna,Sassuolo,Over 2.5,0.517,2.05,8.86,aperta,,,,
49,2026-09-04 19:01,2026-09-06,I1,Juventus,Milan,1,0.5009,2.12,8.86,aperta,,,,
